Date,Message,Likes,Impressions,Comments,Clicks,Source
2023-02-03,Princess Johnson (IG: @yopjay) at Allegory in Washington D.C. (@allegory_dc) really has im-peck-able taste in ingredients! Enjoy her recipe for the Crow from Tobago below! Hapusa Gin Michter's Rye Whiskey Trinidadian Curry Fermented Carrots Mango Lime Cacao fooBar aims to support the worldwide cocktail community by sharing bartenders' creative concoctions & innovative recipes. Submit yours for an opportunity to be featured on our channels here: https://forms.gle/PjDunJWdgnEt7QnS9 fooBar,15,3536,0,0,FB Organic
2023-02-04,"Tomorrow is your last day to apply to become a 2023 CAP Red Coat! Don't miss your chance to be part of the 15th anniversary CAP class and receive world-class education from some of the best in the drinks industry at fooBar 2023! Applications close at the end of day, find it here: https://bit.ly/3G1c51I #CAPRedCoat2023 #CAP2023 #fooBar2023 fooBar fooBar",6,1376,0,6,FB Organic
2023-02-05,We 'Loki' love a Norse Mythology reference! Enjoy the Valhalla Garden Gimlet from Jean Vital (IG: @cocktailcircus_)! 45 ml Aquavit 20 ml Lime juice 20 ml Elderflower Cordial 3 Drops of Chili Bitters or a muddled slice of thick Red Chili. Shake and Double Strain over ice cubes in a Tajin spice rimmed rock glass. fooBar aims to support the worldwide cocktail community by sharing bartenders' creative concoctions & innovative recipes. Submit yours for an opportunity to be featured on our channels here: https://forms.gle/PjDunJWdgnEt7QnS9 fooBar,3,2297,0,0,FB Organic
2023-02-07,"The exchanging of business ideas, tactics, innovations, and products has always been a fooBar opportunity! Year after year, fooBar Business Seminars cover topics ranging from: The digital future of bar education, To the future landscape of design and sound within hospitality, And even the importance of redefining compensation, recruitment, and retention for the industry as a whole! What started as an annual walking tour of New Orleans bars has now become the global idea exchange for the drinks industry. Learn more about fooBar Business Seminars, and what attendees might expect from them at fooBar here: http://bit.ly/3LFYYVv #fooBar2023 fooBar fooBar",10,4028,0,10,FB Organic
2023-02-09,Don't get us 'tarted' on this tangerine dream — Enjoy the Satsuma Smash from Alexandria Bowler (IG: @tincture_bell) at Emeril's! 1.5 oz Bourbon .75 oz Cocktail and Sons Mint and Lemon Verbena Syrup .75 oz Acid-adjusted Satsuma Juice : Katherine Kimball (@katkimballphoto) fooBar aims to support the worldwide cocktail community by sharing bartenders' creative concoctions & innovative recipes. Submit yours for an opportunity to be featured on our channels here: https://forms.gle/PjDunJWdgnEt7QnS9 fooBar,10,2797,0,0,FB Organic
2023-02-10,"Join us in recognizing #BlackHistoryMonth, celebrating DC's 2017 Cocktail Queen, Kapri Robinson (IG: @kapri.possible), and trying her We Don't Need Roads cocktail! As a bartender, educator, event organizer, and president & founder of Chocolate City's Best (CCB), Kapri has been acknowledged on multiple media platforms. In her new editorial, ""Back To The Future: Analyzing our growth in the past to be better for the future,"" she explores a history of the drinks industry's record in recognizing diversity, the present need to create safe workspaces for people of color, and the work ahead for the industry to truly contribute to the community. Read the full editorial here: http://bit.ly/3JZUpaC #BHM fooBar fooBar",1,1748,0,0,FB Organic
2023-02-11,"It should be ill-eagle for a drink to look this cute! Check out the Baby Bird from Kyle Plecas at Supergeil in Detroit, MI! Two James Spirits Brown Butter-Washed Rum Bitter Orange Liqueur Falernum Cider Reduction fooBar aims to support the worldwide cocktail community by sharing bartenders' creative concoctions & innovative recipes. Submit yours for an opportunity to be featured on our channels here: https://forms.gle/PjDunJWdgnEt7QnS9 fooBar",11,6985,4,1,FB Organic
2023-02-12,"What started as an initiative with Focus on Health and Lush Life Productions to bring voices of all service-related communities together for COVID-19 relief efforts evolved into so much more! In 2021 and 2022, our Full Hands In/Full Hands Out series highlighted heritage stories and professional development mentoring from leaders in the industry, with topics including how to negotiate like a pro and bringing more humanity back into hospitality. Find all previous episodes here: http://bit.ly/3yFjguC fooBar #FHIFHO2022 #FOH",2,1080,0,0,FB Organic
2023-02-14,"This combination of flavors just makes 'scents'. Check out this recipe for the Vesuvian Candle from Yolan at The Joseph, a Luxury Collection Hotel, Nashville! Smith & Cross Rum Pedro Ximénez Sherry Amaro Nardini Rivers Royale Grenadian Rum fooBar aims to support the worldwide cocktail community by sharing bartenders' creative concoctions & innovative recipes. Submit yours for an opportunity to be featured on our channels here: https://forms.gle/PjDunJWdgnEt7QnS9 fooBar",9,3158,0,2,FB Organic
2023-02-15,"You only have 1 week left to submit your nominations for the 17th Annual Spirited Awards. That means it's time for a Spirited Awards 101! Here are quick facts regarding the nomination process for 2023: Categories open for public nomination are NOT based on the volume of nominations submitted - You can recognize a bar professional, establishment, ingredient and/or media. It only takes ONE nomination to be considered for a 2023 Spirited Award® - Self-nominations are both accepted and encouraged. Anyone can nominate for a Spirited Award, even yourself! Submit your nomination here: http://bit.ly/3Fgfkli Special thanks to Forbes, the Official Media Partner of the 2023 Spirited Awards. #2023SpiritedAwards #SA2023 #SpiritedAwards fooBar fooBar #fooBar2023 fooBar",1,1301,0,4,FB Organic
2023-02-16,"The Brisingamen is just as brilliant as the golden necklace it's named after! Enjoy this North Sea Tiki popup (IG: @nine_worlds_popup) recipe from Shawn Newman (@socksorneat), Robert Mercier (@bobbybevnaps) and Pete Hannah (@bringinthepete)! Strawberry Lemongrass Vodka Swedish Punsch Cloudberry Crab Apple Verjus. Garnish with Strawberry Leather : James Hand (@jimijam) fooBar aims to support the worldwide cocktail community by sharing bartenders' creative concoctions & innovative recipes. Submit yours for an opportunity to be featured on our channels here: https://forms.gle/PjDunJWdgnEt7QnS9 fooBar",4,2969,1,0,FB Organic
2023-02-17,"We're continuing to celebrate #BlackHistoryMonth through 2 informative & enlightening Full Hands In/Full Hands Out episodes from 2020 — Both centered on the Black experience in the drinks industry: ""Cheers to Black-Owned Spirits"" — Do It For The Cocktail Culture‘s (IG: @forthecocktailculture) LaShana Daniels and Will Drink For Travel‘s (@willdrinkfortravel) Ashlee Tuck met with Black producers to discuss the processes, barriers, and innovations behind black-owned brands. ""Black. Queer. And Still Here."" — fooBar Grants Advisory Committee Member Chris Cabrera (@chrscab) hosts a panel discussion with six prominent LGBTQ+ Black bartenders to discuss the obstacles they have faced when finding their place in an industry that doesn't seem diverse at first glance. Find both episodes here: http://bit.ly/3yFjguC #BHM fooBar #FHIFHO2022 #FOH",1,634,0,0,FB Organic
