Date,Message,Likes,Impressions,Comments,Clicks,Source
2023-02-02,@yopjay at @allegory_dc really has im-peck-able taste in ingredients! Enjoy her recipe for the Crow from Tobago below! ⁠ ⁠ Hapusa Gin⁠ Michter's Rye Whiskey⁠ Trinidadian Curry⁠ Fermented Carrots⁠ Mango⁠ Lime⁠ Cacao⁠ ⁠ fooBar aims to support the worldwide cocktail community by sharing bartenders' creative concoctions & innovative recipes. Submit yours for an opportunity to be featured on our channels at the link in bio!⁠ ⁠ fooBar,250,8586.0,3,0.0,Insta Organic
2023-02-03,"Discover ATLAS⁠ ⁠ ATLAS is located in the ground floor of Singapore’s iconic Budis neighborhood building, Parkview Square, The lobby bar features distinctive architecture which is inspired by the glamorous Art Deco skyscrapers of Europe and New York City.⁠ ⁠ While its appearance may lead you in one direction, ATLAS' rambunctious 1920s spirit soon takes over and you'll find yourself at Singapore’s most lavish party. It is for this uniqueness that Atlas has won numerous Spirited Awards, and why we selected ATLAS to celebrate the nomination period for the 2023 Spirited Awards in New York!⁠ ⁠ Learn more about the event and other ways fooBar is teaming up with @stb_sg at the link in bio.⁠ ⁠ Entrance is limited for this event. All guests must register to attend.⁠ ⁠ #SingaporexTales #SpiritedAwards #2023SpiritedAwards #SA2023⁠ ⁠ @atlasbarsg | @banananaism | @libbeypro | @woodfordreserve | @cocktailkingdom",171,7139.0,4,0.0,Insta Organic
2023-02-04,"Tomorrow is your last day to apply to become a 2023 CAP Red Coat! ⁠ ⁠ Don't miss your chance to be part of the 15th anniversary CAP class and receive world-class education from some of the best in the drinks industry at fooBar 2023! Applications close at the end of day on 2/5, find it at the link in bio!⁠ ⁠ #CAPRedCoat2023 #CAP2023 #fooBar2023 fooBar fooBar⁠ ⁠ @cocktailapprentice | @tkallies | @crisdehlavi | @slayy_her | @girlnamedju | @alexbsmith1 | @courvoisierusa | @campariusa | @crownroyal | @josecuervotequila | @sazerachouse",244,0.0,2,0.0,Insta Organic
2023-02-05,We 'Loki' love a Norse Mythology reference! Enjoy the Valhalla Garden Gimlet from @cocktailcircus_! ⁠ ⁠ 45 ml Aquavit⁠ 20 ml Lime juice⁠ 20 ml Elderflower Cordial⁠ 3 Drops of Chili Bitters or a muddled slice of thick Red Chili.⁠ ⁠ Shake and Double Strain over ice cubes in a Tajin spice rimmed rock glass.⁠ ⁠ fooBar aims to support the worldwide cocktail community by sharing bartenders' creative concoctions & innovative recipes. Submit yours for an opportunity to be featured on our channels at the link in bio!⁠ ⁠ fooBar,161,7624.0,0,0.0,Insta Organic
2023-02-07,"The exchanging of business ideas, tactics, innovations and products has always been a fooBar opportunity! ⁠ ⁠ Year after year, fooBar Business Seminars cover topics ranging from the digital future of bar education to the importance of redefining compensation, recruitment and retention for the industry as a whole!⁠ ⁠ What started as an annual walking tour of New Orleans bars has now become the global idea exchange for the drinks industry. Learn more about fooBar Business Seminars and what attendees might expect from them at fooBar at the link in bio!⁠ ⁠ #fooBar2023 fooBar fooBar",139,6077.0,3,0.0,Insta Organic
2023-02-09,Don't get us 'tarted' on this tangerine dream — Enjoy the Satsuma Smash from @tincture_bell at @emerils! ⁠ ⁠ 1.5 oz Bourbon⁠ .75 oz Cocktail and Sons Mint and Lemon Verbena Syrup⁠ .75 oz Acid-adjusted Satsuma Juice⁠ ⁠ : @katkimballphoto⁠ ⁠ fooBar aims to support the worldwide cocktail community by sharing bartenders' creative concoctions & innovative recipes. Submit yours for an opportunity to be featured on our channels at the link in bio!⁠ ⁠ fooBar,206,7037.0,5,0.0,Insta Organic
2023-02-10,"Join us in recognizing #BlackHistoryMonth, celebrating DC's 2017 Cocktail Queen, @kapri.possible, and trying her We Don't Need Roads cocktail!⁠ ⁠ As a bartender, educator, event organizer, and president & founder of Chocolate City's Best (CCB), Kapri has been acknowledged on multiple media platforms. In her new editorial, ""Back To The Future: Analyzing our growth in the past to be better for the future,"" she explores a history of the drinks industry's record in recognizing diversity, the present need to create safe workspaces for people of color, and the work ahead for the industry to truly contribute to the community.⁠ ⁠ Read the full editorial at the link in bio.⁠ ⁠ #BHM fooBar fooBar",160,6594.0,5,0.0,Insta Organic
2023-02-11,"It should be ill-eagle for a drink to look this cute! Check out the Baby Bird from @kmfp at @Supergeil in Detroit, MI! ⁠ ⁠ @twojames Brown Butter-Washed Rum⁠ Bitter Orange Liqueur⁠ Falernum⁠ Cider Reduction⁠ ⁠ fooBar aims to support the worldwide cocktail community by sharing bartenders' creative concoctions & innovative recipes. Submit yours for an opportunity to be featured on our channels at the link in bio!⁠ ⁠ fooBar",587,16858.0,8,0.0,Insta Organic
2023-02-12,"What started as an initiative with @fohealth and @lushlifeproductions to bring voices of all service-related communities together for COVID-19 relief efforts evolved into so much more!⁠ ⁠ In 2021 and 2022, our Full Hands In/Full Hands Out series highlighted heritage stories and professional development mentoring from leaders in the industry, with topics including how to negotiate like a pro and bringing more humanity back into hospitality.⁠ ⁠ Find all previous episodes at the link in bio.⁠ ⁠ fooBar #FHIFHO2022 #FOH",69,5577.0,0,0.0,Insta Organic
2023-02-14,This combination of flavors just makes 'scents.' Check out this recipe for the Vesuvian Candle from @yolannasville at @thejosephnashville! ⁠ ⁠ Smith & Cross Rum⁠ Pedro Ximénez Sherry⁠ Amaro Nardini⁠ Rivers Royale Grenadian Rum⁠ ⁠ fooBar aims to support the worldwide cocktail community by sharing bartenders' creative concoctions & innovative recipes. Submit yours for an opportunity to be featured on our channels at the link in bio.⁠ ⁠ fooBar,334,10159.0,5,0.0,Insta Organic
